Double click to add this jewel to your build.,ダブルクリックでこのジュエルをビルドへ追加します。
Glorious Vanity {0} was successfully added to your build.,栄光ある虚栄心 {0} をビルドへ追加しました。
Lethal Pride {0} was successfully added to your build.,致命的な自尊心 {0} をビルドへ追加しました。
Brutal Restraint {0} was successfully added to your build.,Brutal Restraint {0} をビルドへ追加しました。
Militant Faith {0} was successfully added to your build.,戦闘的な信仰心 {0} をビルドへ追加しました。
Elegant Hubris {0} was successfully added to your build.,上品な慢心 {0} をビルドへ追加しました。
Node List:,ノード一覧:
Combined Node Weight: {0},合計ノードウェイト: {0}
